rdfID,rdfLabel1,rdfLabel2,rdfComment,rdf-class1,rdf-class2
bmi,BMI,Bundesminister des Inneren,,Einsatzkraft,
bor,BOR,Brandoberrat,,Einsatzkraft,
bva,BvA,Beamter vom Alarmdienst,,Einsatzkraft,
erk,Erk,Erkunder (Melder),,Einsatzkraft,
evd,EvD,Einsatzleiter vom Dienst,,Einsatzkraft,
fabe,FaBe,Fachberater,,Einsatzkraft,
fesp,FeSp,Fernsprecher (Telefonist),,Einsatzkraft,
fwa1,FWA,Feuerwehrangehöriger,,Einsatzkraft,
gf,GF,Gruppenführer,,Einsatzkraft,
grfü,GrFü,Gruppenführer,,Einsatzkraft,
hbi,HBI,Hauptbrandinspektor,,Einsatzkraft,
hbv,HBV,Hauptverwaltungsbeamter,,Einsatzkraft,
jfm,JFM,Jugendfeuerwehrmann,,Einsatzkraft,
jfw,JFW,Jugendfeuerwehrwart,,Einsatzkraft,
kjfw,KJFW,Kreisjugendfeuerwehrwart,,Einsatzkraft,
ldf,LdF,Leiter der Feuerwehr,,Einsatzkraft,
ldf1,LdF,Leiter des Fernmeldebetriebs,,Einsatzkraft,
lfb,LFB,Luftbeobachter,,Einsatzkraft,
lgf,LGF,Löschgruppenführer,,Einsatzkraft,
ljwf,LJWF,Landesjugendfeuerwehrwart,,Einsatzkraft,
lna,LNA,Leitender Notarzt,,Einsatzkraft,
ltd,Ltd,Leitender,,Einsatzkraft,
lve,LvE,Leiter vom Einsatzdienst,,Einsatzkraft,
ma,Ma,Maschinist,,Einsatzkraft,
me,Me,Melder,,Einsatzkraft,
na,NA,Notarzt,,Einsatzkraft,
öeltr,ÖELtr,Örtlicher Einsatzleiter,,Einsatzkraft,
orgel,OrgEL,Organisatorischer Einsatzleiter Rettungsdienst,,Einsatzkraft,
ova,OVA,Oberbeamter vom Arlarmdienst,,Einsatzkraft,
ra,RA,Rettungsassistent,,Einsatzkraft,
rh,RH,Rettungshelfer,,Einsatzkraft,
rs,RS,Rettungssanitäter,,Einsatzkraft,
sbi,SBI,Stadtbrandinspektor,,Einsatzkraft,
sbm,SBM,Stadtbrandmeister,,Einsatzkraft,
sbr,SBR,Stadtbrandrat,,Einsatzkraft,
sfi,SFI,Stadtfeuerwehrinspekteur,,Einsatzkraft,
spfu,SpFu,Sprechfunker,,Einsatzkraft,
stf,STF,Schlauchtrupp-Führer,,Einsatzkraft,
stjfw,StJFW,Stadtjugendfeuerwehrwart,,Einsatzkraft,
stm,STM,Schlauchtrupp-Mann,,Einsatzkraft,
te,TE,Technischer Einsatzleiter,,Einsatzkraft,
tf1,TF,Truppführer,,Einsatzkraft,
tm,TM,Truppmann,,Einsatzkraft,
ubm,UBM,Unterbrandmeister,,Einsatzkraft,
ufo,UFO,Unfallforscher,,Einsatzkraft,
wf,WF,Wehrführer,,Einsatzkraft,
wtf1,WTF,Wassertrupp-Führer,,Einsatzkraft,
wtm,WTM,Wassertrupp-Mann,,Einsatzkraft,
zdl,ZDL,Zivildienstleistender,,Einsatzkraft,
zf,ZF,Zugführer,,Einsatzkraft,
aab,AAB,Amtliches Auskunftbüro,gibt Auskunft über den Verbleib von Betroffenen,Gruppe,
abcz,ABCZ,ABC-Zug,,Gruppe,
abt,Abt,Abteilung,,Gruppe,
asz,ASZ,Atemschutzzug ,,Gruppe,
at,AT,Angriffstrupp (1/1),,Gruppe,
ber,Ber,Bereitschaft,,Gruppe,
btz,BtZ,Betreuungszug,,Gruppe,
bz,BZ,Bergungszug,,Gruppe,
el,EL,Einsatzleitung,,Gruppe,
fesptrp,FeSpTrp,Fernsprechtrupp,,Gruppe,
fmz,FmZ,Fernmeldezug,,Gruppe,
fügrp,FÜGrp,Führungsgruppe,,Gruppe,
futrp,FuTrp,Funktrupp,,Gruppe,
hörg,HöRG,Höhenrettungsgruppe,,Gruppe,
iz,IZ,Instandsetzungszug,,Gruppe,
kw-zug,KW-Zug,Kurzwellenzug (Funkverbindungen über weite Strecken (Kats)),,Gruppe,
lg,LG,Löschgruppe (1/8),,Gruppe,
lng,LNG,Leitende Notarzt-Gruppe,,Gruppe,
lz,LZ,Löschzug ,,Gruppe,
lz-r,LZ-R,Löschzug-Retten,,Gruppe,
lz-w,LZ-W,Löschzug-Wasser,,Gruppe,
ortsf,OrtsF,Ortsfeuerwehr,,Gruppe,
ov,OV,Ortsverband (das THW ist in OV's eingeteilt),,Gruppe,
sz,SZ,Sanitätszug,,Gruppe,
sanz,SanZ,Sanitätszug,,Gruppe,
seeba,SEEBA,Schnelleinsatzeinheit-Bergung-Ausland (THW),,Gruppe,
seg,SEG,Schnelleinsatzgruppe,,Gruppe,
sez,SEZ,Schnelleinsatzzug,,Gruppe,
st,ST,Schlauchtrupp (1/1),,Gruppe,
st1,St,Staffel (1/5),,Gruppe,
t,T,Trupp (1/2 oder 1/1),,Gruppe,
tel,TEL,Technische Einsatleitung,,Gruppe,
wrz,WRZ,Wasserrettungszug,,Gruppe,
wt,WT,Wassertrupp (1/1),,Gruppe,
zst,Zst,Zentraler Stab,,Führungsstelle,
afüst,AFüSt,Abschnittsführungsstelle,,Führungsstelle,
els,ELS,Einsatzleitstelle,,Führungsstelle,
ez,EZ,Einsatzzentrale,,Führungsstelle,
fez,FEZ,Feuerwehreinsatzzentrale,,Führungsstelle,
gal,GAL,Gefahrenabwehrleitung,,Führungsstelle,
gel,GEL,Gesamteinsatzleitung,,Führungsstelle,
fm-stelle,Fm-Stelle,Fernmeldestelle,,Führungsstelle,
fmzt,FmZt,Fernmeldezentrale,,Führungsstelle,
ilst,ILst,Integrierte Leitstelle,,Führungsstelle,
iz1,IZ,Informationszentrale,,Führungsstelle,
ksl,KSL,Katastrophenschutzleitung,,Führungsstelle,
katsl,KatSL,Katastrophenschutzleitung,,Führungsstelle,
kel,KEL,Katastropheneinsatzleitung,,Führungsstelle,
lst,Lst,Leitstelle,,Führungsstelle,
nast,NaSt,Nachalarmierungsstelle,,Stelle,
öel,ÖEL,Örtliche Einsatzleitung,,Führungsstelle,
opz,OPZ,Operationszentrale,,Führungsstelle,
rlst,RLst,Rettungsleitstelle,,Führungsstelle,
brshg,BrSHG,Brandschutzhilfeleistungsgesetz,,Vorschrift,
din,DIN,Deutsche Industrienorm,,Vorschrift,
en,EN,Europäische Norm,,Vorschrift,
feuerworgvo,FeuerwOrgVO,Verordnung über die Organisation  Stärke u. Ausrüstung der öffentl. Feuerwehr,,Vorschrift,
fwdv,FwDV,Feuerwehr-Dienstvorschrift,,Vorschrift,
kategg,KategG,Gesetz über die Erweiterung des Katastrophenschutzes,,Vorschrift,
kats-dv,KatS-DV,Katastrophenschutz-Dienstvorschrift,,Vorschrift,
rvo,RVO,Reichsversicherungsordnung,,Vorschrift,
strlschv,StrlSchV,Strahlenschutzverordnung,,Vorschrift,
uvv,UVV,Unfallverhütungsvorschrift,,Vorschrift,
aao,AAO,Alarm- und Ausrückordnung,,Vorschrift,
bks,BKS,Brandschutz- und Katastrophenschutzschule,,Institution,
dekon,Dekon,Dekontamination,,Objekt,
est,ESt,Einsatzstelle,,Vorschrift,
ex,EX,Explosionsgeschützt,,Abkürzung,
ftz,FTZ,Feuerwehrtechnische Zentrale,,Einrichtung,
gh,GH,Gerätehaus,,Einrichtung,
gsg,GSG,Gefährliche Stoffe und Güter,,Vorschrift,
kbz,KBZ,Kreisbrandschutz-Zentrale,,Führungsstelle,
kfz1,KFZ,Kreisfeuerwehrzentrale,,Führungsstelle,
lfs,LFS,Landesfeuerwehrschule,,Institution,
risc,RISC,Rotterdam International Safety Centre ,,Institution,
rw4,RW,Rettungswache,,Einrichtung,
sb,SB,Sichernder Brandschutz,,Vorschrift,
vb,VB,Vorbeugender Brandschutz,,Vorschrift,
vu,VU,Verkehrsunfall,,Abkürzung,
imis,IMIS,Integriertes Meß- und Informationssystem des Bundes,,Vorschrift,
wadis,WADIS,Warndienst-Informationssystem,,Vorschrift,
wari,WARI,Warn-Rundfunk-Informationssystem,,Vorschrift,
abs,ABS,Antiblockiersystem,,Abkürzung,
am,AM,Autobahnmeisterei,,Institution,
asr,ASR,Antischlupfreglung,,Abkürzung,
all,All,Allradantrieb,,Abkürzung,
bab,BAB,Bundesautobahn,,Straße,Ort
bga,BGA,Bundesgesundheitsamt,,Institution,
dg,DG,Dachgeschoß,,Ort,
eg,EG,Erdgeschoß,,Ort,
eh,EH,Erste Hilfe,,Abkürzung,
hlw,HLW,Herz-Lungen-Wiederbelebung,,Abkürzung,
k,K,Kreisstraße,,Straße,Ort
kg,KG,Kellergeschoß,,Ort,
kn,kN,kilo-Newton (1000 N 100kg),,Maßeinheit,
kva,kVA,kilo-Volt-Ampere (1 kVA =1000 Watt),,Maßeinheit,
mak,MAK,Maximale Arbeitsplatz-Konzentration,,Vorschrift,
pst,PST,Polizei(autobahn)station,,Institution,
past,PAST,Polizei(autobahn)station,,Institution,
og,OG,Obergeschoß,,Ort,
stvo,StVO,Straßenverkehrsordnung,,Vorschrift,
uba,UBA,Umweltbundesamt,,Institution,
wgk,WGK,Wassergefährdungsklasse,,Vorschrift,
